,Gender,Age,Tenure,Saving_Amount,Current_Amount,Time_Deposits_Amount,Funds_Amount,Stocks_Amount,Bank_Assurance_Amount,Life_Assurance_Amount,Business_Loan_Amount,Home_Loan_Amount,Consumer_Loan_Amount,Branch_Transactions,ATM_Transactions,Phone_Transactions,Internet_Transactions,Standing_Orders,New_Credit_Card_Flag
189,F,37,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916.285714,5,0,0,0,0,0
190,M,69,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.594286,0,0,0,0,0,0
191,M,40,49,41.305714,1458.944286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,0,0,0
192,M,38,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.424286,9,0,0,0,0,1
193,M,39,49,0.0,50.718571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0
194,F,36,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302857,0,0,0,0,0,0
195,M,58,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.62,0,0,0,0,0,0
196,M,33,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.024286,8,0,0,0,0,0
197,M,63,49,212.18,647.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6689.234286,21,1,0,0,0,1
198,M,61,49,120.698571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32491.161429,0.0,5,0,0,0,0,0
199,M,39,49,0.0,257.445714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0,0,0,0
200,M,50,49,3.081429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.332857,2,0,0,0,0,0
201,M,46,49,10.714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
202,F,51,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1027.93,2,0,0,0,0,0
203,F,40,49,64.794286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
204,M,39,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.028571,0,0,0,0,0,0
205,M,69,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.357143,0,5,0,0,0,1
206,M,46,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.52,2,0,0,0,0,0
207,M,45,49,2043.327143,233.008571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,0,4,0,1
208,M,39,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831.4,1,0,0,0,0,0
209,M,63,49,0.0,0.0,0.0,0.0,0.0,36.98,0.0,0.0,31547.665,0.0,0,0,0,0,0,0
210,M,53,49,19.525714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2102.97,6,0,0,0,0,1
211,M,48,49,882.694286,0.0,0.0,0.0,0.0,0.0,266.171429,0.0,0.0,243.217143,14,3,0,0,0,1
